Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.43551,0,0,0,0,-0.0606567,0.0626897,-0.0217725,0.00256968,0,0,0,0,0.0076589,-0.00784231,0.00269703,-0.000315423,0,0,0,0,0.258332,-0.232198,0.0745213,-0.00835072,0,0,0,0,0,0,0,0
2.44059,0,0.0831486,0.0311084,0.00132981,0.214493,-0.21589,0.0740275,-0.00866263,0,-0.0111905,-0.00457308,0.000256587,-0.0286775,0.0332979,-0.012227,0.00149087,0.5,0.194715,-0.0479035,-0.00856151,-0.170127,0.166139,-0.0551944,0.00629895,0,0,0,0,0,0,0,0
2.45148,0.5,0.0787065,-0.033295,0.00192066,-0.0538371,0.0422782,-0.012014,0.00120504,0,0.063472,0.0169022,6.35394e-05,0.0975446,-0.0940716,0.0314404,-0.00361348,0.5,0.030068,0.0413907,0.00102035,0.220392,-0.227795,0.0792566,-0.00935496,0,0,0,0,0,0,0,0
2.45659,0.353553,-0.139168,0.000238963,-0.00188075,-0.0320077,0.0343029,-0.0121619,0.00145294,0.353553,0.12014,-0.0103398,-0.000590111,-0.00170702,-0.00492793,0.00310021,-0.000473889,0.853553,-0.0065005,-0.020996,5.30932e-05,-0.255862,0.24935,-0.0837963,0.00965898,0,0,0,0,0,0,0,0
2.37361,0,-0.116898,-0.00125224,-0.000284029,-0.0907578,0.0925032,-0.0325106,0.00391102,0.5,-0.00480155,-0.00380915,0.000408534,-0.0533082,0.0477607,-0.015533,0.00177264,0.5,0.00244117,0.0517807,-1.62959e-05,0.249119,-0.259901,0.0918457,-0.0110599,0,0,0,0,0,0,0,0
2.32814,-0.353553,-0.101949,0.00785676,-0.000542072,-0.0190099,0.0265971,-0.0109867,0.00146731,0.353553,-0.0901595,-0.00697815,4.85751e-05,-0.100722,0.101084,-0.0355208,0.00430245,0.853553,-0.000849926,-0.0519869,1.8063e-05,-0.275957,0.292781,-0.105403,0.0129365,0,0,0,0,0,0,0,0
2.35542,-0.5,1.10192e-05,0.00808118,2.06669e-07,0.0417363,-0.036206,0.0114571,-0.00127947,0,-0.13875,-1.59396e-07,0.000314824,-0.0804494,0.0854409,-0.0309092,0.00380187,0.5,-1.44331e-05,0.0520336,2.87213e-06,0.286028,-0.303491,0.109086,-0.0133364,0,0,0,0,0,0,0,0
2.37361,-0.353553,0.101979,0.00785986,0.000541715,0.0938548,-0.0965932,0.0341804,-0.00413252,-0.353553,-0.0901551,0.00697909,4.59515e-05,-0.0333993,0.0391402,-0.0148721,0.00188104,0.853553,-0.00105419,-0.025983,4.03025e-05,-0.293135,0.296241,-0.10316,0.0123172,0,0,0,0,0,0,0,0
2.40089,0,0.116837,0.00289138,0.000286409,0.0459222,-0.0446307,0.0151483,-0.00177108,-0.5,0.000847844,0.00761638,0.000231341,0.0571676,-0.0533834,0.0177428,-0.00204819,0.5,-0.0028552,0.0517232,6.16906e-05,0.234648,-0.24129,0.084121,-0.00999932,0,0,0,0,0,0,0,0
2.45546,0.353553,0.139306,-0.000442724,0.00188616,0.0384512,-0.0548718,0.0217133,-0.0027496,-0.353553,0.0837429,0.0103441,0.00114558,0.13697,-0.137886,0.0473769,-0.00554955,0.853553,0.00743761,-0.0507619,-6.45159e-05,-0.218953,0.220468,-0.0752798,0.00876098,0,0,0,0,0,0,0,0
2.89122,0.5,-0.114902,-0.0333399,0.00193356,-0.0695916,0.0626722,-0.018657,0.00187303,0,0.0634059,-0.00845581,6.07981e-05,-0.035793,0.0277197,-0.00758604,0.000721156,0.5,-0.0126116,0.0410432,-0.000948447,0.0504006,-0.0516204,0.0161487,-0.00166352,0,0,0,0,0,0,0,0
2.42093,0,-0.0474401,0.0311663,-0.00137043,0.0159573,-0.0196205,0.00731365,-0.000897199,0,-0.00636311,0.00458545,0.000132561,0.000926346,-0.00173673,0.000714869,-9.1643e-05,0.5,-0.188662,-0.0466206,0.00420901,-0.15056,0.176292,-0.0660517,0.00820573,0,0,0,0,0,0,0,0
